COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Royal Tern,Thalasseus maximus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_maxima,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Tennessee Warbler,Oreothlypis peregrina,Passeriformes,Parulidae (New World Warblers),Vermivora_peregrina,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Wilson's Warbler,Cardellina pusilla,Passeriformes,Parulidae (New World Warblers),Wilsonia_pusilla,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Yellow-rumped Warbler,Setophaga coronata,Passeriformes,Parulidae (New World Warblers),Dendroica_coronata,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Yellow Warbler,Setophaga petechia,Passeriformes,Parulidae (New World Warblers),Dendroica_petechia,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
American Tree Sparrow,Spizelloides arborea,Passeriformes,Passerellidae (New World Sparrows),Spizella_arborea,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
American Wigeon,Mareca americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_americana,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Bay-breasted Warbler,Setophaga castanea,Passeriformes,Parulidae (New World Warblers),Dendroica_castanea,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Black-capped Chickadee,Poecile atricapillus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Parus_atricapillus,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Blackburnian Warbler,Setophaga fusca,Passeriformes,Parulidae (New World Warblers),Dendroica_fusca,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Blackpoll Warbler,Setophaga striata,Passeriformes,Parulidae (New World Warblers),Dendroica_striata,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Blue-winged Teal,Spatula discors,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_discors,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
