COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Greater Yellowlegs,Tringa melanoleuca,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_melanoleuca,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Harris's Sparrow,Zonotrichia querula,Passeriformes,Passerellidae (New World Sparrows),Zonotrichia_querula,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Hooded Merganser,Lophodytes cucullatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Lophodytes_cucullatus,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Horned Grebe,Podiceps auritus,Podicipediformes,Podicipedidae (Grebes),Podiceps_auritus,BL3,Podicipedidae,Podicipedidae,Grebes,21,PODICIPEDIFORMES,NONPASSERIFORMES
Horned Lark,Eremophila alpestris,Passeriformes,Alaudidae (Larks),Eremophila_alpestris,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri
Lark Sparrow,Chondestes grammacus,Passeriformes,Passerellidae (New World Sparrows),Chondestes_grammacus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Least Flycatcher,Empidonax minimus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_minimus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Lesser Scaup,Aythya affinis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_affinis,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Lesser Yellowlegs,Tringa flavipes,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_flavipes,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Lincoln's Sparrow,Melospiza lincolnii,Passeriformes,Passerellidae (New World Sparrows),Melospiza_lincolnii,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Long-billed Dowitcher,Limnodromus scolopaceus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Limnodromus_scolopaceus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Northern Pintail,Anas acuta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_acuta,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Olive-sided Flycatcher,Contopus cooperi,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus_cooperi,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Ovenbird,Seiurus aurocapilla,Passeriformes,Parulidae (New World Warblers),Seiurus_aurocapilla,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Philadelphia Vireo,Vireo philadelphicus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_philadelphicus,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Pine Grosbeak,Pinicola enucleator,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Pinicola_enucleator,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Red Crossbill,Loxia curvirostra,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Loxia_curvirostra,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Ring-necked Duck,Aythya collaris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_collaris,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Rose-breasted Grosbeak,Pheucticus ludovicianus,Passeriformes,Cardinalidae (Cardinals and Allies),Pheucticus_ludovicianus,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Ruddy Duck,Oxyura jamaicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oxyura_jamaicensis,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Semipalmated Sandpiper,Calidris pusilla,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_pusilla,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Sharp-shinned Hawk,Accipiter striatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Accipiter_striatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Snow Bunting,Plectrophenax nivalis,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Plectrophenax_nivalis,BL3,P11,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Solitary Sandpiper,Tringa solitaria,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_solitaria,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Sora,Porzana carolina,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Porzana_carolina,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Spotted Towhee,Pipilo maculatus,Passeriformes,Passerellidae (New World Sparrows),Pipilo_maculatus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Swainson's Hawk,Buteo swainsoni,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_swainsoni,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Swainson's Thrush,Catharus ustulatus,Passeriformes,Turdidae (Thrushes and Allies),Catharus_ustulatus,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Townsend's Solitaire,Myadestes townsendi,Passeriformes,Turdidae (Thrushes and Allies),Myadestes_townsendi,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Vesper Sparrow,Pooecetes gramineus,Passeriformes,Passerellidae (New World Sparrows),Pooecetes_gramineus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Virginia Rail,Rallus limicola,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Rallus_limicola,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Warbling Vireo,Vireo gilvus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_gilvus,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Western Grebe,Aechmophorus occidentalis,Podicipediformes,Podicipedidae (Grebes),Aechmophorus_occidentalis,BL3,Podicipedidae,Podicipedidae,Grebes,21,PODICIPEDIFORMES,NONPASSERIFORMES
Western Kingbird,Tyrannus verticalis,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_verticalis,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Western Meadowlark,Sturnella neglecta,Passeriformes,Icteridae (Troupials and Allies),Sturnella_neglecta,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
White-winged Crossbill,Loxia leucoptera,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Loxia_leucoptera,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Willow Flycatcher,Empidonax traillii,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_traillii,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Yellow-bellied Flycatcher,Empidonax flaviventris,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_flaviventris,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Yellow-breasted Chat,Icteria virens,Passeriformes,Icteriidae (Yellow-breasted Chat),Icteria_virens,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Passeriformes,Icteridae (Troupials and Allies),Xanthocephalus_xanthocephalus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Anna's Hummingbird,Calypte anna,Caprimulgiformes,Trochilidae (Hummingbirds),Calypte_anna,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Band-tailed Pigeon,Patagioenas fasciata,Columbiformes,Columbidae (Pigeons and Doves),Patagioenas_fasciata,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Barn Owl,Tyto alba,Strigiformes,Tytonidae (Barn-Owls),Tyto_alba,BL3,Tytonidae,Tytonidae,Barn owls,70,STRIGIFORMES,NONPASSERIFORMES
Bewick's Wren,Thryomanes bewickii,Passeriformes,Troglodytidae (Wrens),Thryomanes_bewickii,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Black-headed Grosbeak,Pheucticus melanocephalus,Passeriformes,Cardinalidae (Cardinals and Allies),Pheucticus_melanocephalus,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Brandt's Cormorant,Phalacrocorax penicillatus,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax_penicillatus,BL3,Phalacrocoracidae,Phalacrocoracidae,Cormorants,32,SULIFORMES,NONPASSERIFORMES
Brewer's Blackbird,Euphagus cyanocephalus,Passeriformes,Icteridae (Troupials and Allies),Euphagus_cyanocephalus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Bushtit,Psaltriparus minimus,Passeriformes,Aegithalidae (Long-tailed Tits),Psaltriparus_minimus,BL3,S7S8,Aegithalidae,Long-tailed Tits,157,PASSERIFORMES,Passeri
Cassin's Vireo,Vireo cassinii,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_cassinii,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Clark's Grebe,Aechmophorus clarkii,Podicipediformes,Podicipedidae (Grebes),Aechmophorus_clarkii,BL3,Podicipedidae,Podicipedidae,Grebes,21,PODICIPEDIFORMES,NONPASSERIFORMES
Common Goldeneye,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala_clangula,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Common Raven,Corvus corax,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_corax,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Dunlin,Calidris alpina,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_alpina,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Evening Grosbeak,Coccothraustes vespertinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Coccothraustes_vespertinus,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Glaucous-winged Gull,Larus glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_glaucescens,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Golden-crowned Sparrow,Zonotrichia atricapilla,Passeriformes,Passerellidae (New World Sparrows),Zonotrichia_atricapilla,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Heermann's Gull,Larus heermanni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_heermanni,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Hooded Oriole,Icterus cucullatus,Passeriformes,Icteridae (Troupials and Allies),Icterus_cucullatus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Hutton's Vireo,Vireo huttoni,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_huttoni,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Iceland Gull,Larus glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_glaucoides,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Marbled Godwit,Limosa fedoa,Charadriiformes,Scolopacidae (Sandpipers and Allies),Limosa_fedoa,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Merlin,Falco columbarius,Falconiformes,Falconidae (Falcons and Caracaras),Falco_columbarius,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES
Mew Gull,Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_canus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Pacific-slope Flycatcher,Empidonax difficilis,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_difficilis,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Pelagic Cormorant,Phalacrocorax pelagicus,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax_pelagicus,BL3,Phalacrocoracidae,Phalacrocoracidae,Cormorants,32,SULIFORMES,NONPASSERIFORMES
Peregrine Falcon,Falco peregrinus,Falconiformes,Falconidae (Falcons and Caracaras),Falco_peregrinus,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES
Red-breasted Merganser,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergus_serrator,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Red-breasted Sapsucker,Sphyrapicus ruber,Piciformes,Picidae (Woodpeckers),Sphyrapicus_ruber,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Red-necked Phalarope,Phalaropus lobatus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Phalaropus_lobatus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Red-throated Loon,Gavia stellata,Gaviiformes,Gaviidae (Loons),Gavia_stellata,BL3,Gaviidae,Gaviidae,Loons or divers,16,GAVIIFORMES,NONPASSERIFORMES
Rough-legged Hawk,Buteo lagopus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_lagopus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Ruffed Grouse,Bonasa umbellus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Bonasa_umbellus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Steller's Jay,Cyanocitta stelleri,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Cyanocitta_stelleri,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Surf Scoter,Melanitta perspicillata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_perspicillata,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Vaux's Swift,Chaetura vauxi,Caprimulgiformes,Apodidae (Swifts),Chaetura_vauxi,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES
Violet-green Swallow,Tachycineta thalassina,Passeriformes,Hirundinidae (Swallows),Tachycineta_thalassina,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
Western Gull,Larus occidentalis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_occidentalis,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Western Sandpiper,Calidris mauri,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_mauri,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Western Tanager,Piranga ludoviciana,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga_ludoviciana,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Whimbrel,Numenius phaeopus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Numenius_phaeopus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Black-necked Stilt,Himantopus mexicanus,Charadriiformes,Recurvirostridae (Stilts and Avocets),Himantopus_mexicanus,BL3,Charadrii,Recurvirostridae,Stilts and avocets,53,CHARADRIIFORMES,NONPASSERIFORMES
Cave Swallow,Petrochelidon fulva,Passeriformes,Hirundinidae (Swallows),Petrochelidon_fulva,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
Northern Bobwhite,Colinus virginianus,Galliformes,Odontophoridae (New World Quail),Colinus_virginianus,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Pyrrhuloxia,Cardinalis sinuatus,Passeriformes,Cardinalidae (Cardinals and Allies),Cardinalis_sinuatus,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Wild Turkey,Meleagris gallopavo,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Meleagris_gallopavo,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
American Avocet,Recurvirostra americana,Charadriiformes,Recurvirostridae (Stilts and Avocets),Recurvirostra_americana,BL3,Charadrii,Recurvirostridae,Stilts and avocets,53,CHARADRIIFORMES,NONPASSERIFORMES
Ash-throated Flycatcher,Myiarchus cinerascens,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus_cinerascens,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Baird's Sandpiper,Calidris bairdii,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_bairdii,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Bell's Vireo,Vireo bellii,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_bellii,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Black-crested Titmouse,Baeolophus atricristatus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Baeolophus_atricristatus,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Black-throated Sparrow,Amphispiza bilineata,Passeriformes,Passerellidae (New World Sparrows),Amphispiza_bilineata,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Bronzed Cowbird,Molothrus aeneus,Passeriformes,Icteridae (Troupials and Allies),Molothrus_aeneus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Bullock's Oriole,Icterus bullockii,Passeriformes,Icteridae (Troupials and Allies),Icterus_bullockii,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Burrowing Owl,Athene cunicularia,Strigiformes,Strigidae (Owls),Athene_cunicularia,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Cactus Wren,Campylorhynchus brunneicapillus,Passeriformes,Troglodytidae (Wrens),Campylorhynchus_brunneicapillus,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Chihuahuan Raven,Corvus cryptoleucus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_cryptoleucus,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Common Tern,Sterna hirundo,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_hirundo,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Couch's Kingbird,Tyrannus couchii,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_couchii,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Curve-billed Thrasher,Toxostoma curvirostre,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma_curvirostre,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Dickcissel,Spiza americana,Passeriformes,Cardinalidae (Cardinals and Allies),Spiza_americana,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Ferruginous Hawk,Buteo regalis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_regalis,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Golden-fronted Woodpecker,Melanerpes aurifrons,Piciformes,Picidae (Woodpeckers),Melanerpes_aurifrons,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Grasshopper Sparrow,Ammodramus savannarum,Passeriformes,Passerellidae (New World Sparrows),Ammodramus_savannarum,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Greater Roadrunner,Geococcyx californianus,Cuculiformes,Cuculidae (Cuckoos),Geococcyx_californianus,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES
Harris's Hawk,Parabuteo unicinctus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Parabuteo_unicinctus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Hudsonian Godwit,Limosa haemastica,Charadriiformes,Scolopacidae (Sandpipers and Allies),Limosa_haemastica,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Lark Bunting,Calamospiza melanocorys,Passeriformes,Passerellidae (New World Sparrows),Calamospiza_melanocorys,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Least Bittern,Ixobrychus exilis,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Ixobrychus_exilis,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Mountain Bluebird,Sialia currucoides,Passeriformes,Turdidae (Thrushes and Allies),Sialia_currucoides,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Rufous-crowned Sparrow,Aimophila ruficeps,Passeriformes,Passerellidae (New World Sparrows),Aimophila_ruficeps,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Sanderling,Calidris alba,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_alba,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Say's Phoebe,Sayornis saya,Passeriformes,Tyrannidae (Tyrant Flycatchers),Sayornis_saya,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Scissor-tailed Flycatcher,Tyrannus forficatus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_forficatus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Semipalmated Plover,Charadrius semipalmatus,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius_semipalmatus,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Sprague's Pipit,Anthus spragueii,Passeriformes,Motacillidae (Wagtails and Pipits),Anthus_spragueii,BL3,P9,Motacillidae,Wagtails and pipits,170,PASSERIFORMES,Passeri
Stilt Sandpiper,Calidris himantopus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_himantopus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Upland Sandpiper,Bartramia longicauda,Charadriiformes,Scolopacidae (Sandpipers and Allies),Bartramia_longicauda,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Verdin,Auriparus flaviceps,Passeriformes,Remizidae (Penduline-Tits),Auriparus_flaviceps,BL3,S2,Remizidae,Penduline-tits,155,PASSERIFORMES,Passeri
Vermilion Flycatcher,Pyrocephalus rubinus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Pyrocephalus_rubinus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Western Bluebird,Sialia mexicana,Passeriformes,Turdidae (Thrushes and Allies),Sialia_mexicana,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
White-rumped Sandpiper,Calidris fuscicollis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_fuscicollis,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Glaucous Gull,Larus hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_hyperboreus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_alnorum,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
American Black Duck,Anas rubripes,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_rubripes,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
American Woodcock,Scolopax minor,Charadriiformes,Scolopacidae (Sandpipers and Allies),Scolopax_minor,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Black-billed Cuckoo,Coccyzus erythropthalmus,Cuculiformes,Cuculidae (Cuckoos),Coccyzus_erythropthalmus,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES
Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_olor,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Northern Saw-whet Owl,Aegolius acadicus,Strigiformes,Strigidae (Owls),Aegolius_acadicus,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Prothonotary Warbler,Protonotaria citrea,Passeriformes,Parulidae (New World Warblers),Protonotaria_citrea,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Trumpeter Swan,Cygnus buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_buccinator,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_columbianus,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Veery,Catharus fuscescens,Passeriformes,Turdidae (Thrushes and Allies),Catharus_fuscescens,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
