city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Vernal_UT,Utah,40.4517,-109.5379,20356,831.8278567123698,132,462,44182.288,Yes
Butner_NC,North Carolina,36.1285,-78.7501,17224,135.58764991242023,182,204,44249.041,Yes
Albemarle_NC,North Carolina,35.36,-80.1921,16929,181.6097505264671,117,284,44466.747,Yes
Front Royal_VA,Virginia,38.926,-78.1837,19557,69.43980173384088,160,351,44528.148,Yes
Dickson_TN,Tennessee,36.0637,-87.3661,17066,557.9832694201646,174,647,44555.692,Yes
Chillicothe_OH,Ohio,39.3393,-82.9937,32004,436.3545483470123,164,469,44684.568,Yes
Augusta_ME,Maine,44.3341,-69.7319,21876,32.71769173509776,192,2622,44907.267,Yes
Picayune_MS,Mississippi,30.5289,-89.6788,16401,28.7368331289482,111,88,44974.865,Yes
Yucca Valley_CA,California,34.1231,-116.4215,24899,179.83803533526824,137,305,44975.143,Yes
Kalispell_MT,Montana,48.2155,-114.3262,36304,532.8722497228118,201,845,45171.497,Yes
Cleburne_TX,Texas,32.3585,-97.4172,36185,311.1559812312862,151,264,45184.323,Yes
Kerrville_TX,Texas,30.0398,-99.1317,30210,219.14842288292402,248,1672,45302.902,Yes
Kilgore_TX,Texas,32.3979,-94.8603,18246,283.76385474260223,154,448,45508.405,Yes
Middletown_DE,Delaware,39.4451,-75.7165,32540,9.52052825776542,210,942,45593.552,Yes
Alliance_OH,Ohio,40.9107,-81.1189,31917,315.0725245430195,228,1483,45952.613,Yes
Brainerd_MN,Minnesota,46.3551,-94.1981,19459,1204.307279048499,216,1275,45985.912,Yes
Tifton_GA,Georgia,31.4624,-83.5205,24463,166.66851574587534,172,612,46016.022,Yes
Milford_DE,Delaware,38.9095,-75.4232,20683,10.918835688710503,222,765,46042.194,Yes
Bridgeton_NJ,New Jersey,39.4284,-75.2284,34536,16.60286349636638,167,277,46099.985,Yes
Eden_NC,North Carolina,36.5029,-79.7421,17019,214.22028665874302,171,2563,46336.593,Yes
Forest Lake_MN,Minnesota,45.2536,-92.9583,23270,1117.9914338721296,145,245,46344.592,Yes
Meadville_PA,Pennsylvania,41.6476,-80.1468,23131,305.81969932988164,228,2332,46513.943,Yes
Montrose_CO,Colorado,38.4689,-107.8591,22919,1003.2262173631486,178,1407,46544.797,Yes
Escanaba_MI,Michigan,45.7478,-87.0905,20370,831.4980898203287,232,1093,46648.248,Yes
Twin Falls_ID,Idaho,42.5631,-114.4637,53412,516.3444444584414,173,749,46905.725,Yes
Ridgecrest_CA,California,35.631,-117.6619,32377,274.1626164528827,224,2295,46917.143,Yes
Marshall_TX,Texas,32.537,-94.3515,22014,311.37921816933164,78,134,47049.055,Yes
Moultrie_GA,Georgia,31.1591,-83.7705,18799,143.9678182006255,87,24,47154.827,No
Shelton_WA,Washington,47.2186,-123.1128,18981,6.318805735044008,142,296,47202.124,Yes
Henderson_NC,North Carolina,36.3259,-78.4155,20584,118.82170022613322,95,21,47360.044,No
Laramie_WY,Wyoming,41.3095,-105.6097,33587,990.8205687321271,252,3116,47511.854,Yes
Opelousas_LA,Louisiana,30.5279,-92.0851,25390,82.9098422288258,91,51,47537.48,Yes
Wooster_OH,Ohio,40.8166,-81.9337,31483,360.49544187206413,179,834,47901.773,Yes
Eureka_CA,California,40.7941,-124.1568,45091,1.178700847803544,332,15569,47922.802,Yes
Gaffney_SC,South Carolina,35.0742,-81.6558,21692,229.80056084200467,64,29,48025.862,No
Forney_TX,Texas,32.7453,-96.4496,35281,330.5041289626548,44,23,48401.593,No
Laurinburg_NC,North Carolina,34.7597,-79.4781,20514,106.53626810549362,90,29,48539.807,No
Sedalia_MO,Missouri,38.7043,-93.2349,26302,914.2525916927982,91,76,48724.197,Yes
Ponca City_OK,Oklahoma,36.7235,-97.0679,25164,765.8080479127538,151,88,48754.499,Yes
Lake Placid_FL,Florida,27.2967,-81.3719,16610,77.85090924367404,171,597,48790.636,Yes
