city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Burlington_KS,Kansas,38.1932,-95.7452,2443,886.689317,16,3,4.165064,No
La Conner_WA,Washington,48.3925,-122.4945,3464,3.527896953,128,132,4.171693,Yes
Garner_IA,Iowa,43.0996,-93.6033,3061,1173.153176,24,10,4.175655,No
Bellevue_IA,Iowa,42.2625,-90.4318,2527,954.7031548,127,70,4.191171,Yes
Bethel_OH,Ohio,38.9627,-84.0847,3320,523.6875226,36,8,4.204131,No
Hoosick Falls_NY,New York,42.9009,-73.35,3508,154.264346,81,29,4.207207,No
Manti_UT,Utah,39.267,-111.6375,3411,782.3288769,30,9,4.208553,No
Carthage_IL,Illinois,40.4144,-91.1278,2524,989.5803753,4,1,4.209478,No
Hayti_MO,Missouri,36.2323,-89.7474,3227,653.6823509,50,21,4.228943,No
Justin_TX,Texas,33.0862,-97.3009,3413,384.5670747,38,17,4.23272,No
Eastland_TX,Texas,32.4015,-98.8174,3644,362.6137159,47,15,4.237237,No
Wilton_IA,Iowa,41.5898,-91.027,2797,1016.551313,5,1,4.245972,No
Oceana_WV,West Virginia,37.6927,-81.6324,2429,359.1227668,0,0,4.24643,No
Itta Bena_MS,Mississippi,33.5003,-90.3256,3979,325.4359395,8,1,4.248182,No
Delphi_IN,Indiana,40.5831,-86.6672,2990,701.2070475,100,80,4.256054,Yes
Perry_NY,New York,42.7174,-78.0064,3509,292.4768944,109,79,4.260763,Yes
San Saba_TX,Texas,31.1974,-98.7188,3092,293.4094686,145,192,4.261839,Yes
Walsenburg_CO,Colorado,37.6307,-104.7818,2845,976.2863637,84,36,4.264162,No
Phillipsburg_KS,Kansas,39.7512,-99.321,2570,1091.39029,30,5,4.265317,No
Needville_TX,Texas,29.3957,-95.8387,3100,55.99402685,12,2,4.267751,No
Hugoton_KS,Kansas,37.1754,-101.3468,3866,856.7278866,147,88,4.269746,Yes
Cresco_IA,Iowa,43.3718,-92.1164,3485,1061.343741,19,5,4.274586,No
Millstadt_IL,Illinois,38.4592,-90.0837,3464,822.1034752,0,0,4.279339,No
Swanton_VT,Vermont,44.9213,-73.1201,3047,53.51425212,66,61,4.281497,Yes
Greenfield_OH,Ohio,39.3536,-83.3883,5044,465.4808876,9,1,4.283524,No
Lake Arthur_LA,Louisiana,30.0795,-92.6773,2793,45.6475427,76,20,4.286896,No
Floydada_TX,Texas,33.9835,-101.3367,2758,583.9117529,122,37,4.296958,No
Electra_TX,Texas,34.0321,-98.9208,2678,506.6477431,16,6,4.299096,No
Blanding_UT,Utah,37.6213,-109.5073,3902,949.0754438,76,31,4.310278,No
Marion_KY,Kentucky,37.3321,-88.0795,2666,660.7215166,35,4,4.321172,No
Prescott_WI,Wisconsin,44.7522,-92.7882,4124,1103.128089,131,430,4.328334,Yes
Glenville_WV,West Virginia,38.9379,-80.8339,3371,273.3148981,22,7,4.331496,No
Port Barre_LA,Louisiana,30.5565,-91.9565,2650,89.51141457,4,1,4.331794,No
Blackstone_VA,Virginia,37.0821,-78.0029,3081,80.98016428,81,209,4.332326,Yes
Albany_MN,Minnesota,45.6283,-94.5676,2671,1218.119906,129,42,4.338937,No
Tunica_MS,Mississippi,34.6881,-90.3809,968,457.4706846,11,3,4.342676,No
Philippi_WV,West Virginia,39.1488,-80.0417,3215,204.4218572,66,14,4.351905,No
Warsaw_NY,New York,42.7429,-78.1414,2907,301.9801285,76,27,4.356307,No
Heyworth_IL,Illinois,40.3153,-88.9778,3057,883.2149992,44,7,4.356825,No
Central City_NE,Nebraska,41.1132,-98.0002,2793,1200.789657,0,0,4.366313,No
Spooner_WI,Wisconsin,45.827,-91.886,2588,1065.689722,137,77,4.37312,Yes
Willcox_AZ,Arizona,32.2514,-109.8359,3430,386.1397262,145,220,4.378983,Yes
Bicknell_IN,Indiana,38.7744,-87.3078,3174,728.9314779,0,0,4.385581,No
Pilot Point_TX,Texas,33.3955,-96.9521,3962,404.9717796,39,5,4.39005,No
Sabetha_KS,Kansas,39.912,-95.7908,2538,1055.115956,29,11,4.393681,No
Sweeny_TX,Texas,29.046,-95.6986,3663,26.00506741,0,0,4.402032,No
Calais_ME,Maine,45.134,-67.224,2377,3.95469323,94,68,4.410956,Yes
Caledonia_MN,Minnesota,43.6343,-91.5008,2670,1017.280107,4,3,4.413148,No
Manila_AR,Arkansas,35.8845,-90.1642,3010,603.1076099,9,1,4.413532,No
Casey_IL,Illinois,39.3027,-87.9896,2760,790.4661985,13,3,4.436654,No
Woodlake_CA,California,36.4124,-119.0998,7818,191.709662,183,489,4.437807,Yes
Mobridge_SD,South Dakota,45.5411,-100.4356,3561,1411.389746,63,19,4.445445,No
Schulenburg_TX,Texas,29.6817,-96.9073,2800,107.9431172,48,25,4.449328,No
Delta_OH,Ohio,41.5753,-84.0048,3191,508.0378018,96,84,4.456117,Yes
Irrigon_OR,Oregon,45.8959,-119.4883,2658,167.3386554,48,7,4.457305,No
Sparta_MI,Michigan,43.1575,-85.7091,4232,652.2953858,12,6,4.464207,No
Omro_WI,Wisconsin,44.0391,-88.7378,3395,849.0595562,28,7,4.473183,No
Cadiz_OH,Ohio,40.2644,-80.998,2438,286.7940448,35,4,4.474129,No
Hobart_OK,Oklahoma,35.0246,-99.0875,3464,607.478632,12,1,4.481231,No
Krum_TX,Texas,33.2651,-97.2261,5018,398.4834289,15,4,4.492772,No
Green Forest_AR,Arkansas,36.3344,-93.4279,2675,663.9944113,0,0,4.501974,No
Millersburg_OH,Ohio,40.5533,-81.9164,3104,351.7730991,107,53,4.50526,Yes
Montgomery City_MO,Missouri,38.9751,-91.5031,2516,919.94856,23,7,4.506161,No
Lyons_KS,Kansas,38.3466,-98.2052,3585,938.9223807,30,35,4.506191,No
Benson_MN,Minnesota,45.3149,-95.6072,3053,1283.216163,48,14,4.509562,No
Delhi_LA,Louisiana,32.4529,-91.49,2731,240.0895547,18,2,4.512758,No
Wilmore_KY,Kentucky,37.8787,-84.6545,9432,548.7480777,131,536,4.517762,Yes
Blue Earth_MN,Minnesota,43.6402,-94.1006,3119,1198.603924,155,132,4.518427,Yes
Louisiana_MO,Missouri,39.4413,-91.0626,3014,923.742405,42,9,4.518638,No
Cambridge_WI,Wisconsin,43.0071,-89.0214,2669,850.6081333,96,37,4.522667,No
Winner_SD,South Dakota,43.3776,-99.8552,2870,1371.385361,11,2,4.529052,No
Greenwich_NY,New York,43.0864,-73.4966,2485,170.8797947,68,58,4.536217,Yes
Knox_IN,Indiana,41.291,-86.621,3213,684.9182368,36,8,4.54085,No
Nyssa_OR,Oregon,43.8776,-116.9951,3390,356.4094115,19,3,4.547286,No
Lonoke_AR,Arkansas,34.7907,-91.9073,4050,484.054186,43,6,4.551457,No
Middleville_MI,Michigan,42.7138,-85.4692,3259,625.9407948,190,862,4.554095,Yes
Unadilla_GA,Georgia,32.2583,-83.7356,3253,189.1559355,28,7,4.562368,No
Stanley_WI,Wisconsin,44.9596,-90.943,3496,995.4190508,23,8,4.568719,No
Rocky Ford_CO,Colorado,38.0499,-103.7227,4012,983.9948936,94,40,4.576399,No
Milaca_MN,Minnesota,45.7585,-93.6514,2788,1165.128175,27,4,4.580716,No
Colonial Beach_VA,Virginia,38.2565,-76.9784,3723,1.67352117,161,183,4.588664,Yes
Lowville_NY,New York,43.7867,-75.4874,3497,194.2029173,57,49,4.591609,No
